Constituency name,Region name,Country name,Constituency type,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
Amber Valley,East Midlands,England,County,Linsey,Farnsworth,Female,Lab gain from Con,Lab,RUK,"71,546","42,531",105,"3,554","10,725","15,746","1,590","12,192","2,278",0,0,0,0,0,0,0,0,0
Angus and Perthshire Glens,Scotland,Scotland,County,Dave,Doogan,Male,SNP hold,SNP,Con,"76,668","47,348",224,"4,870","14,272","6,799","3,156","3,246",0,"19,142",0,0,0,0,0,0,733,0
Arbroath and Broughty Ferry,Scotland,Scotland,County,Stephen,Gethins,Male,SNP hold,SNP,Lab,"76,149","44,117",161,859,"6,841","14,722","2,249","3,800",0,"15,581",0,0,0,0,0,0,924,0
Argyll  Bute and South Lochaber,Scotland,Scotland,County,Brendan,O'Hara,Male,SNP hold,SNP,Con,"71,756","44,862",216,"6,232","9,350","8,585","7,359","3,045",0,"15,582",0,0,0,0,0,0,941,0
Arundel and South Downs,South East,England,County,Andrew,Griffith,Male,Con hold,Con,LD,"77,969","54,740",214,"12,134","22,001","9,782","9,867","7,391","5,515",0,0,0,0,0,0,0,184,0
Ashfield,East Midlands,England,County,Lee,Anderson,Male,RUK gain from Con,RUK,Lab,"68,929","39,882",102,"5,508","3,271","11,554",619,"17,062","1,100",0,0,0,0,0,0,0,"6,276",0
Ashford,South East,England,County,Sojan,Joseph,Male,Lab gain from Con,Lab,Con,"76,233","46,975",164,"1,779","13,483","15,262","2,445","10,141","4,355",0,0,0,0,0,0,0,"1,289",0
Ashton-under-Lyne,North West,England,Borough,Angela,Rayner,Female,Lab hold,Lab,RUK,"71,002","35,461",136,"6,791","4,375","15,575","1,411","8,784","2,481",0,0,0,0,0,0,0,"2,835",0
Aylesbury,South East,England,County,Laura,Kyrke-Smith,Female,Lab gain from Con,Lab,Con,"79,169","49,940",213,630,"14,451","15,081","10,440","6,746","2,590",0,0,0,0,0,0,0,632,0
Ayr  Carrick and Cumnock,Scotland,Scotland,County,Elaine,Stewart,Female,Lab gain from SNP,Lab,SNP,"70,340","40,936",120,"4,154","9,247","14,930","1,081","3,544",886,"10,776",0,0,0,0,0,0,472,0
Banbury,South East,England,County,Sean,Woodcock,Male,Lab gain from Con,Lab,Con,"73,250","48,178",187,"3,256","15,212","18,468","4,352","6,284","2,615",0,0,0,0,0,0,0,"1,247",0
Bangor Aberconwy,Wales,Wales,County,Claire,Hughes,Female,Lab gain from Con,Lab,PC,"70,527","41,660",154,"4,896","9,036","14,008","1,524","6,091","1,361",0,"9,112",0,0,0,0,0,528,0
Barking,London,England,Borough,Nesil,Caliskan,Female,Lab hold,Lab,RUK,"79,822","36,477",120,"11,054","4,294","16,227","1,015","5,173","4,988",0,0,0,0,0,0,0,"4,780",0
Barnsley North,Yorkshire and The Humber,England,County,Dan,Jarvis,Male,Lab hold,Lab,RUK,"78,274","36,894",114,"7,811","3,083","18,610","1,336","10,799","1,805",0,0,0,0,0,0,0,"1,261",0
Barnsley South,Yorkshire and The Humber,England,County,Stephanie,Peacock,Female,Lab hold,Lab,RUK,"75,853","35,082",78,"4,748","3,247","16,399","1,172","11,651","1,521",0,0,0,0,0,0,0,"1,092",0
Barrow and Furness,North West,England,County,Michelle,Scrogham,Female,Lab gain from Con,Lab,Con,"74,980","42,221",141,"5,324","13,213","18,537","1,680","7,035","1,466",0,0,0,0,0,0,0,290,0
Basildon and Billericay,East of England,England,Borough,Richard,Holden,Male,Con hold,Con,Lab,"76,873","42,124",176,20,"12,905","12,885","2,292","11,354","2,123",0,0,0,0,0,0,0,565,0
Basingstoke,South East,England,Borough,Luke,Murphy,Male,Lab gain from Con,Lab,Con,"78,487","48,989",189,"6,484","14,438","20,922","3,176","6,314","3,568",0,0,0,0,0,0,0,571,0
Bassetlaw,East Midlands,England,County,Jo,White,Female,Lab gain from Con,Lab,Con,"78,161","44,878",150,"5,768","12,708","18,476","1,996","9,751","1,947",0,0,0,0,0,0,0,0,0
Bath,South West,England,County,Wera,Hobhouse,Female,LD hold,LD,Lab,"69,662","48,130",192,"11,218","7,659","8,665","19,883","3,798","5,952",0,0,0,0,0,0,0,"2,173",0
Bathgate and Linlithgow,Scotland,Scotland,County,Kirsteen,Sullivan,Female,Lab gain from SNP,Lab,SNP,"72,185","42,065",92,"8,323","3,144","19,774","2,171","3,524","1,390","11,451",0,0,0,0,0,0,611,0
Battersea,London,England,Borough,Marsha,De Cordova,Female,Lab hold,Lab,Con,"72,827","47,082",237,"12,039","10,944","22,983","4,826","2,825","4,239",0,0,0,0,0,0,0,"1,265",0
Beaconsfield,South East,England,County,Joy,Morrissey,Female,Con hold,Con,LD,"72,751","47,726",162,"5,455","18,494","7,216","13,039","6,055","1,977",0,0,0,0,0,0,0,945,0
Beckenham and Penge,London,England,Borough,Liam,Conlon,Male,Lab hold,Lab,Con,"77,198","52,222",218,"12,905","12,848","25,753","4,436","5,355","3,830",0,0,0,0,0,0,0,0,0
Bedford,East of England,England,Borough,Mohammad,Yasin,Male,Lab hold,Lab,Con,"72,478","40,659",210,"9,430","8,912","18,342","4,025","4,548","2,394",0,0,0,0,0,0,0,"2,438",0
Belfast East,Northern Ireland,Northern Ireland,Borough,Gavin,Robinson,Male,DUP hold,DUP,APNI,"72,917","42,706",184,"2,676",0,0,0,0,"1,077",0,0,"19,894",0,619,"1,818","17,218","2,080",0
Belfast North,Northern Ireland,Northern Ireland,Borough,John,Finucane,Male,SF hold,SF,DUP,"74,240","40,452",293,"5,612",0,0,0,0,"1,206",0,0,"12,062","17,674","1,413",0,"4,274","3,823",0
Belfast South and Mid Down,Northern Ireland,Northern Ireland,Borough,Claire,Hanna,Female,SDLP hold,SDLP,APNI,"74,749","43,491",266,"12,506",0,0,0,0,"1,577",0,0,"6,859",0,"21,345","2,653","8,839","2,218",0
Belfast West,Northern Ireland,Northern Ireland,Borough,Paul,Maskey,Male,SF hold,SF,PBPA,"75,346","39,743",256,"15,961",0,0,0,0,451,0,0,"4,304","21,009","4,318",461,"1,077","8,123",0
Bermondsey and Old Southwark,London,England,Borough,Neil,Coyle,Male,Lab hold,Lab,LD,"69,482","37,603",180,"7,787","2,879","16,857","9,070","3,397","4,477",0,0,0,0,0,0,0,923,0
Berwickshire  Roxburgh and Selkirk,Scotland,Scotland,County,John,Lamont,Male,Con hold,Con,SNP,"76,438","46,558",138,"6,599","18,872","6,311","3,686","3,340","1,526","12,273",0,0,0,0,0,0,550,0
Bethnal Green and Stepney,London,England,Borough,Rushanara,Ali,Female,Lab hold,Lab,Ind,"81,439","46,647",320,"1,689","1,920","15,896","4,777","1,964","6,391",0,0,0,0,0,0,0,"15,699",0
Beverley and Holderness,Yorkshire and The Humber,England,County,Graham,Stuart,Male,Con hold,Con,Lab,"71,994","44,897",144,124,"15,501","15,377","3,386","8,198","1,647",0,0,0,0,0,0,0,788,0
Bexhill and Battle,South East,England,County,Kieran,Mullan,Male,Con hold,Con,Lab,"72,198","47,750",188,"2,657","16,186","13,529","3,473","7,929","2,972",0,0,0,0,0,0,0,"3,661",0
Bexleyheath and Crayford,London,England,Borough,Daniel,Francis,Male,Lab gain from Con,Lab,Con,"70,297","43,461",118,"2,114","13,603","15,717","2,204","9,861","2,076",0,0,0,0,0,0,0,0,0
Bicester and Woodstock,South East,England,County,Calum,Miller,Male,LD gain from Con,LD,Con,"74,353","50,219",167,"4,958","14,461","8,236","19,419","5,408","2,404",0,0,0,0,0,0,0,291,0
Birkenhead,North West,England,Borough,Alison,McGovern,Female,Lab hold,Lab,Green,"78,091","43,134",142,"13,798","3,238","22,468","2,292","6,142","8,670",0,0,0,0,0,0,0,324,0
Birmingham Edgbaston,West Midlands,England,Borough,Preet,Gill,Female,Lab hold,Lab,Con,"71,787","37,428",179,"8,368","8,231","16,599","2,102","4,363","2,797",0,0,0,0,0,0,0,"3,336",0
Birmingham Erdington,West Midlands,England,Borough,Paulette,Hamilton,Female,Lab hold,Lab,RUK,"77,463","34,137",152,"7,019","5,402","14,774","1,128","7,755","2,452",0,0,0,0,0,0,0,"2,626",0
Birmingham Hall Green and Moseley,West Midlands,England,Borough,Tahir,Ali,Male,Lab hold,Lab,Ind,"76,936","41,606",256,"5,656","3,845","12,798","4,711","2,305","3,913",0,0,0,0,0,0,0,"14,034",0
Birmingham Hodge Hill and Solihull North,West Midlands,England,Borough,Liam,Byrne,Male,Lab hold,Lab,WPB,"77,737","34,136",127,"1,566","4,634","10,655",942,"6,456","2,360",0,0,0,0,0,0,0,"9,089",0
Birmingham Ladywood,West Midlands,England,Borough,Shabana,Mahmood,Female,Lab hold,Lab,Ind,"83,693","36,579",203,"3,421","2,218","15,558","1,711","1,477","3,478",0,0,0,0,0,0,0,"12,137",0
Birmingham Northfield,West Midlands,England,Borough,Laurence,Turner,Male,Lab gain from Con,Lab,Con,"74,048","37,652",138,"5,389","9,540","14,929","1,791","7,895","2,809",0,0,0,0,0,0,0,688,0
Birmingham Perry Barr,West Midlands,England,Borough,Ayoub,Khan,Male,Ind gain from Lab,Ind,Lab,"76,350","37,476",211,507,"4,227","12,796","1,302","2,446","2,440",0,0,0,0,0,0,0,"14,265","13,303"
Birmingham Selly Oak,West Midlands,England,Borough,Al,Carns,Male,Lab hold,Lab,Con,"75,678","38,423",144,"11,537","5,834","17,371","2,324","5,732","4,320",0,0,0,0,0,0,0,"2,842",0
Birmingham Yardley,West Midlands,England,Borough,Jess,Phillips,Female,Lab hold,Lab,WPB,"73,203","36,144",128,693,"3,634","11,275","3,634","5,061","1,958",0,0,0,0,0,0,0,"10,582",0
Bishop Auckland,North East,England,County,Sam,Rushworth,Male,Lab gain from Con,Lab,Con,"70,745","40,427",133,"6,672","10,364","17,036","1,373","9,466","1,857",0,0,0,0,0,0,0,331,0
Blackburn,North West,England,Borough,Adnan,Hussain,Male,Ind gain from Lab,Ind,Lab,"73,263","38,887",163,132,"3,474","10,386",689,"4,844","1,416",0,0,0,0,0,0,0,"18,078","10,518"
Blackley and Middleton South,North West,England,Borough,Graham,Stringer,Male,Lab hold,Lab,RUK,"72,303","31,340",149,"10,250","3,073","16,864","1,592","6,614","3,197",0,0,0,0,0,0,0,0,0
Blackpool North and Fleetwood,North West,England,Borough,Lorraine,Beavers,Female,Lab gain from Con,Lab,Con,"73,339","41,810",128,"4,647","12,097","16,744","1,318","9,913","1,269",0,0,0,0,0,0,0,469,0
Blackpool South,North West,England,Borough,Chris,Webb,Male,Lab gain from Con,Lab,RUK,"77,460","35,180",129,"6,848","5,504","16,916","1,041","10,068","1,207",0,0,0,0,0,0,0,444,0
Blaenau Gwent and Rhymney,Wales,Wales,County,Nick,Smith,Male,Lab hold,Lab,PC,"70,153","29,922",516,"12,183","3,776","16,027","1,268",0,"1,719",0,"3,844",0,0,0,0,0,"3,288",0
Blaydon and Consett,North East,England,County,Liz,Twist,Female,Lab hold,Lab,RUK,"70,487","42,216",120,"11,153","6,052","21,160","2,273","10,007","2,589",0,0,0,0,0,0,0,135,0
Blyth and Ashington,North East,England,County,Ian,Lavery,Male,Lab hold,Lab,RUK,"76,595","40,401",126,"9,173","6,121","20,030","1,433","10,857","1,960",0,0,0,0,0,0,0,0,0
Bognor Regis and Littlehampton,South East,England,Borough,Alison,Griffiths,Female,Con hold,Con,Lab,"76,854","47,827",186,"1,765","15,678","13,913","5,081","10,262","2,185",0,0,0,0,0,0,0,708,0
Bolsover,East Midlands,England,County,Natalie,Fleet,Female,Lab gain from Con,Lab,Con,"77,207","42,434",111,"6,323","10,874","17,197","1,478","9,131","3,754",0,0,0,0,0,0,0,0,0
Bolton North East,North West,England,Borough,Kirith,Entwistle,Female,Lab gain from Con,Lab,Con,"80,011","43,359",148,"6,653","9,513","16,166","1,507","9,428","4,683",0,0,0,0,0,0,0,"2,062",0
Bolton South and Walkden,North West,England,Borough,Yasmin,Qureshi,Female,Lab hold,Lab,RUK,"79,622","36,930",138,"6,743","4,170","15,093","1,384","8,350","2,827",0,0,0,0,0,0,0,"5,106",0
Bolton West,North West,England,County,Phil,Brickell,Male,Lab gain from Con,Lab,Con,"74,933","44,598",180,"4,945","12,418","17,363","1,966","8,517","4,132",0,0,0,0,0,0,0,202,0
Bootle,North West,England,Borough,Peter,Dowd,Male,Lab hold,Lab,RUK,"73,037","38,880",139,"21,983","1,674","26,729","1,301","4,746","3,904",0,0,0,0,0,0,0,526,0
Boston and Skegness,East Midlands,England,County,Richard,Tice,Male,RUK gain from Con,RUK,Con,"75,811","40,455",128,"2,010","13,510","7,629","1,375","15,520","1,506",0,0,0,0,0,0,0,915,0
Bournemouth East,South West,England,Borough,Tom,Hayes,Male,Lab gain from Con,Lab,Con,"72,354","44,910",143,"5,479","12,837","18,316","3,082","6,268","2,790",0,0,0,0,0,0,0,"1,617",0
Bournemouth West,South West,England,Borough,Jessica,Toale,Female,Lab gain from Con,Lab,Con,"70,259","39,418",137,"3,224","11,141","14,365","4,311","6,647","2,614",0,0,0,0,0,0,0,340,0
Bracknell,South East,England,Borough,Peter,Swallow,Male,Lab gain from Con,Lab,Con,"71,660","43,837",155,784,"13,999","14,783","4,768","7,445","2,166",0,0,0,0,0,0,0,676,0
Bradford East,Yorkshire and The Humber,England,Borough,Imran,Hussain,Male,Lab hold,Lab,Ind,"75,164","37,216",148,"6,189","3,450","14,098","1,910","4,952","2,571",0,0,0,0,0,0,0,"10,235",0
Bradford South,Yorkshire and The Humber,England,Borough,Judith,Cummins,Female,Lab hold,Lab,RUK,"70,999","33,042",91,"4,392","4,853","11,833",954,"7,441","3,366",0,0,0,0,0,0,0,"4,595",0
Bradford West,Yorkshire and The Humber,England,Borough,Naz,Shah,Female,Lab hold,Lab,Ind,"77,897","37,081",219,707,"3,055","11,724",756,"2,958","3,690",0,0,0,0,0,0,0,"14,898",0
Braintree,East of England,England,County,James,Cleverly,Male,Con hold,Con,Lab,"77,673","49,028",167,"3,670","17,414","13,744","2,879","11,346","2,878",0,0,0,0,0,0,0,767,0
Brecon  Radnor and Cwm Tawe,Wales,Wales,County,David,Chadwick,Male,LD gain from Con,LD,Con,"73,114","46,548",120,"1,472","12,264","9,904","13,736","6,567","1,188",0,"2,280",0,0,0,0,0,609,0
Brent East,London,England,Borough,Dawn,Butler,Female,Lab hold,Lab,Con,"77,547","37,802",243,"13,047","6,323","19,370","2,635","2,024","3,729",0,0,0,0,0,0,0,"3,721",0
Brent West,London,England,Borough,Barry,Gardiner,Male,Lab hold,Lab,Con,"80,027","41,376",199,"3,793","13,465","17,258","3,013","2,061","2,805",0,0,0,0,0,0,0,"2,774",0
Brentford and Isleworth,London,England,Borough,Ruth,Cadbury,Female,Lab hold,Lab,Con,"79,423","45,254",219,"9,824","10,183","20,007","3,863","3,940","4,029",0,0,0,0,0,0,0,"3,232",0
Brentwood and Ongar,East of England,England,County,Alex,Burghart,Male,Con hold,Con,RUK,"75,352","48,332",169,"5,980","17,731","11,082","5,809","11,751","1,770",0,0,0,0,0,0,0,189,0
Bridgend,Wales,Wales,County,Chris,Elmore,Male,Lab gain from Con,Lab,RUK,"73,168","41,374",108,"8,595","6,764","16,516","1,446","7,921","1,760",0,"3,629",0,0,0,0,0,"3,338",0
Bridgwater,South West,England,County,Ashley,Fox,Male,Con hold,Con,Lab,"71,571","40,129",149,"1,349","12,281","10,932","5,781","8,913","1,720",0,0,0,0,0,0,0,502,0
Bridlington and The Wolds,Yorkshire and The Humber,England,County,Charlie,Dewhirst,Male,Con hold,Con,Lab,"74,438","42,937",140,"3,125","14,846","11,721","3,097","10,350","1,595",0,0,0,0,0,0,0,"1,328",0
Brigg and Immingham,Yorkshire and The Humber,England,County,Martin,Vickers,Male,Con hold,Con,Lab,"73,099","42,508",168,"3,243","15,905","12,662","1,442","10,594","1,905",0,0,0,0,0,0,0,0,0
Brighton Kemptown and Peacehaven,South East,England,Borough,Chris,Ward,Male,Lab hold,Lab,Con,"68,784","40,686",557,"9,663","8,230","17,893","3,949",0,"7,997",0,0,0,0,0,0,0,"2,617",0
Brighton Pavilion,South East,England,Borough,Siƒn,Berry,Female,Green hold,Green,Lab,"74,786","52,363",209,"14,290","3,975","14,519","1,604","2,836","28,809",0,0,0,0,0,0,0,620,0
Bristol Central,South West,England,Borough,Carla,Denyer,Female,Green gain from Lab,Green,Lab,"62,735","43,365",165,"10,407","1,998","14,132","1,162","1,338","24,539",0,0,0,0,0,0,0,196,0
Bristol East,South West,England,Borough,Kerry,McCarthy,Female,Lab hold,Lab,Green,"75,917","46,109",845,"6,606","6,435","20,748","2,713",0,"14,142",0,0,0,0,0,0,0,"2,071",0
Bristol North East,South West,England,Borough,Damien,Egan,Male,Lab hold,Lab,Green,"70,076","41,989",160,"11,167","6,216","19,004","1,964","5,418","7,837",0,0,0,0,0,0,0,"1,550",0
Bristol North West,South West,England,Borough,Darren,Jones,Male,Lab hold,Lab,Green,"74,869","48,464",264,"15,669","6,773","24,058","4,159","4,863","8,389",0,0,0,0,0,0,0,222,0
Bristol South,South West,England,Borough,Karin,Smyth,Female,Lab hold,Lab,Green,"75,533","43,403",179,"7,666","4,947","18,521","2,721","6,195","10,855",0,0,0,0,0,0,0,164,0
Broadland and Fakenham,East of England,England,County,Jerome,Mayhew,Male,Con hold,Con,Lab,"76,863","49,513",192,719,"16,322","15,603","5,526","8,859","3,203",0,0,0,0,0,0,0,0,0
Bromley and Biggin Hill,London,England,Borough,Peter,Fortune,Male,Con hold,Con,Lab,"70,713","46,788",173,302,"15,929","15,627","4,352","8,203","2,583",0,0,0,0,0,0,0,94,0
Bromsgrove,West Midlands,England,County,Bradley,Thomas,Male,Con hold,Con,Lab,"76,468","50,405",140,"3,016","16,533","13,517","7,391","9,584","1,675",0,0,0,0,0,0,0,"1,705",0
Broxbourne,East of England,England,County,Lewis,Cocking,Male,Con hold,Con,Lab,"75,210","42,952",142,"2,858","15,810","12,952","2,688","8,782","2,461",0,0,0,0,0,0,0,259,0
Broxtowe,East Midlands,England,County,Juliet,Campbell,Female,Lab gain from Con,Lab,Con,"70,440","47,838",165,"8,403","11,158","19,561","3,807","8,402","3,488",0,0,0,0,0,0,0,"1,422",0
Buckingham and Bletchley,South East,England,County,Callum,Anderson,Male,Lab gain from Con,Lab,Con,"74,832","47,641",206,"2,421","15,181","17,602","4,300","7,468","2,590",0,0,0,0,0,0,0,500,0
Burnley,North West,England,County,Oliver,Ryan,Male,Lab gain from Con,Lab,LD,"74,954","39,719",130,"3,420","8,058","12,598","9,178","7,755","1,518",0,0,0,0,0,0,0,612,0
Burton and Uttoxeter,West Midlands,England,County,Jacob,Collier,Male,Lab gain from Con,Lab,Con,"77,994","45,627",161,"2,266","13,956","16,222","1,663","9,611","2,119",0,0,0,0,0,0,0,"2,056",0
Bury North,North West,England,Borough,James,Frith,Male,Lab gain from Con,Lab,Con,"77,686","45,520",174,"6,944","12,681","19,625","1,317","7,385","1,747",0,0,0,0,0,0,0,"2,765",0
Bury South,North West,England,Borough,Christian,Wakeford,Male,Lab gain from Con,Lab,Con,"75,326","42,214",170,"9,361","9,886","19,247","1,796","6,865","2,715",0,0,0,0,0,0,0,"1,705",0
Bury St Edmunds and Stowmarket,East of England,England,County,Peter,Prinsley,Male,Lab gain from Con,Lab,Con,"78,479","50,893",193,"1,452","15,293","16,745","3,154","8,595","5,761",0,0,0,0,0,0,0,"1,345",0
Caerfyrddin,Wales,Wales,County,Ann,Davies,Female,PC gain from Con,PC,Lab,"74,005","45,604",187,"4,535","8,825","10,985","1,461","6,944","1,371",0,"15,520",0,0,0,0,0,498,0
Caerphilly,Wales,Wales,County,Chris,Evans,Male,Lab hold,Lab,PC,"72,648","38,234",156,"6,419","4,385","14,538","1,788","7,754","1,650",0,"8,119",0,0,0,0,0,0,0
Caithness  Sutherland and Easter Ross,Scotland,Scotland,County,Jamie,Stone,Male,LD gain from SNP,LD,SNP,"74,627","46,048",122,"10,489","1,860","3,409","22,736","3,360","1,641","12,247",0,0,0,0,0,0,795,0
Calder Valley,Yorkshire and The Humber,England,County,Josh,Fenton-Glynn,Male,Lab gain from Con,Lab,Con,"77,364","49,608",188,"8,991","13,055","22,046","2,587","7,644","3,701",0,0,0,0,0,0,0,575,0
Camborne and Redruth,South West,England,County,Perran,Moon,Male,Lab gain from Con,Lab,Con,"74,342","47,785",196,"7,806","11,554","19,360","4,113","8,952","2,840",0,0,0,0,0,0,0,966,0
Cambridge,East of England,England,Borough,Daniel,Zeichner,Male,Lab hold,Lab,LD,"70,321","42,100",372,"11,078","5,073","19,614","8,536",0,"6,842",0,0,0,0,0,0,0,"2,035",0
Cannock Chase,West Midlands,England,County,Josh,Newbury,Male,Lab gain from Con,Lab,Con,"76,974","42,953",119,"3,125","12,546","15,671","1,029","11,570","2,137",0,0,0,0,0,0,0,0,0
Canterbury,South East,England,County,Rosie,Duffield,Female,Lab hold,Lab,Con,"71,155","47,231",173,"8,653","10,878","19,531","3,812","6,805","5,920",0,0,0,0,0,0,0,285,0
Cardiff East,Wales,Wales,Borough,Jo,Stevens,Female,Lab hold,Lab,LD,"72,876","39,123",172,"9,097","3,913","15,833","6,736","4,980","3,916",0,"3,550",0,0,0,0,0,195,0
Cardiff North,Wales,Wales,Borough,Anna,McMorrin,Female,Lab hold,Lab,Con,"71,460","47,473",232,"11,207","9,642","20,849","3,168","5,985","3,160",0,"4,669",0,0,0,0,0,0,0
Cardiff South and Penarth,Wales,Wales,Borough,Stephen,Doughty,Male,Lab hold,Lab,Green,"73,060","39,176",221,"11,767","5,459","17,428","2,908","4,493","5,661",0,"3,227",0,0,0,0,0,0,0
Cardiff West,Wales,Wales,Borough,Alex,Barros-Curtis,Male,Lab hold,Lab,PC,"75,697","44,757",195,"7,019","6,835","16,442","1,921","5,626","3,157",0,"9,423",0,0,0,0,0,"1,353",0
Carlisle,North West,England,County,Julie,Minns,Female,Lab gain from Con,Lab,Con,"77,863","45,979",152,"5,200","12,929","18,129","2,982","9,295","1,922",0,0,0,0,0,0,0,722,0
Carshalton and Wallington,London,England,Borough,Bobby,Dean,Male,LD gain from Con,LD,Con,"74,362","46,670",117,"7,905","12,221","6,108","20,126","5,941","1,517",0,0,0,0,0,0,0,757,0
Castle Point,East of England,England,Borough,Rebecca,Harris,Female,Con hold,Con,RUK,"71,026","40,633",138,"3,251","15,485","9,455","1,341","12,234","2,118",0,0,0,0,0,0,0,0,0
Central Ayrshire,Scotland,Scotland,County,Alan,Gemmell,Male,Lab gain from SNP,Lab,SNP,"69,413","41,419",123,"6,869","6,147","18,091",983,"3,420","1,039","11,222",0,0,0,0,0,0,517,0
Central Devon,South West,England,County,Mel,Stride,Male,Con hold,Con,Lab,"75,385","53,432",211,61,"16,831","16,770","8,232","7,784","3,338",0,0,0,0,0,0,0,477,0
Central Suffolk and North Ipswich,East of England,England,County,Patrick,Spencer,Male,Con hold,Con,Lab,"73,046","46,423",215,"4,290","15,144","10,854","5,407","8,806","5,652",0,0,0,0,0,0,0,560,0
Ceredigion Preseli,Wales,Wales,County,Ben,Lake,Male,PC hold,PC,LD,"75,690","46,302",155,"14,789","4,763","5,386","6,949","5,374","1,864",0,"21,738",0,0,0,0,0,228,0
Chatham and Aylesford,South East,England,County,Tristan,Osborne,Male,Lab gain from Con,Lab,Con,"75,109","40,845",124,"1,998","11,691","13,689","2,175","9,989","2,504",0,0,0,0,0,0,0,797,0
Cheadle,North West,England,Borough,Tom,Morrison,Male,LD gain from Con,LD,Con,"74,383","50,731",110,"12,235","11,446","7,909","23,681","5,149","1,630",0,0,0,0,0,0,0,916,0
Chelmsford,East of England,England,Borough,Marie,Goldman,Female,LD gain from Con,LD,Con,"76,970","50,716",139,"4,753","15,461","6,108","20,214","6,754","1,588",0,0,0,0,0,0,0,591,0
Chelsea and Fulham,London,England,Borough,Ben,Coleman,Male,Lab gain from Con,Lab,Con,"78,468","47,116",184,152,"18,404","18,556","3,611","3,144","2,798",0,0,0,0,0,0,0,603,0
Cheltenham,South West,England,Borough,Max,Wilkinson,Male,LD gain from Con,LD,Con,"76,144","49,542",986,"7,210","17,866","2,665","25,076",0,"3,160",0,0,0,0,0,0,0,775,0
Chesham and Amersham,South East,England,County,Sarah,Green,Female,LD gain from Con,LD,Con,"74,889","54,455",161,"5,451","18,971","3,502","24,422","5,310","1,673",0,0,0,0,0,0,0,577,0
Chester North and Neston,North West,England,County,Samantha,Dixon,Female,Lab hold,Lab,Con,"70,215","44,694",216,"11,870","10,388","22,258","2,076","5,870","4,102",0,0,0,0,0,0,0,0,0
Chester South and Eddisbury,North West,England,County,Aphra,Brandreth,Female,Con hold,Con,Lab,"74,284","52,486",155,"3,057","19,905","16,848","5,430","6,414","2,278",0,0,0,0,0,0,0,"1,611",0
Chesterfield,East Midlands,England,Borough,Toby,Perkins,Male,Lab hold,Lab,Con,"71,645","41,555",135,"10,820","8,496","19,316","2,553","7,897","2,682",0,0,0,0,0,0,0,611,0
Chichester,South East,England,County,Jess,Brown-Fuller,Female,LD gain from Con,LD,Con,"78,374","51,947",146,"12,172","13,368","3,175","25,540","7,859","1,815",0,0,0,0,0,0,0,190,0
Chingford and Woodford Green,London,England,Borough,Iain,Duncan Smith,Male,Con hold,Con,Lab,"74,010","48,512",135,"4,757","17,281","12,524","1,275","3,653","1,334",0,0,0,0,0,0,0,"12,445",0
